,Chapter,Concept Instance,Occurences
0,4,impulse,1
1,13,body,1
2,16,body,1
3,16,vital spirit,1
4,29,impulse,1
5,55,body,1
6,55,impulse,1
7,60,body,2
8,62,impulse,1
9,66,flesh,1
10,75,impulse,2
