,Chapter,Concept Instance,Occurences
0,1,flesh,1
1,2,flesh,1
2,3,body,1
3,3,vital spirit,1
4,7,body,1
5,14,flesh,1
6,16,impulse,1
7,19,body,1
8,24,body,1
9,24,vital spirit,1
10,28,vital spirit,1
11,29,impulse,1
