,Chapter,Concept Instance,Occurences
0,1,law,1
1,3,necessity,1
2,7,matter,1
3,8,nature,1
4,10,matter,1
5,16,matter,1
6,19,law,1
7,21,nature,1
8,21,whole,1
9,22,nature,1
10,27,whole,1
11,30,nature,1
12,30,matter,1
13,30,whole,3
14,33,matter,1
15,34,law,1
16,34,matter,1
17,34,whole,2
