,Chapter,Concept Instance,Occurences
0,3,flesh,1
1,3,vital spirit,1
2,4,vital spirit,1
3,18,body,1
4,21,souls,3
5,22,impulse,1
6,39,body,1
7,41,body,1
8,50,body,1
