,Chapter,word,Occurences
0,1,nature,2
1,1,matter,1
2,1,whole,1
3,2,law,1
4,5,nature,1
5,7,nature,4
6,7,whole,2
7,12,nature,1
8,21,whole,1
9,31,whole,2
10,35,necessity,1
11,36,whole,1
12,41,nature,3
