,Chapter,Concept Instance,Occurences
0,1,nature,1
1,9,nature,2
2,10,matter,1
3,19,whole,1
4,21,whole,1
5,22,whole,1
6,25,nature,1
7,25,matter,1
8,30,matter,1
9,33,whole,1
10,37,nature,1
11,37,matter,1
12,40,whole,1
13,42,matter,1
14,43,nature,1
15,43,whole,1
