,Chapter,word,Occurences
0,2,nature,5
1,3,nature,5
2,6,nature,1
3,7,law,3
4,7,necessity,1
5,8,law,1
6,11,law,1
7,11,whole,1
8,13,law,1
9,15,matter,1
10,17,whole,2
11,19,nature,1
12,25,law,3
13,27,whole,2
14,33,nature,2
15,33,law,4
