,Chapter,Concept Instance,Occurences
0,3,mind,1
1,5,mind,1
2,6,reason,1
3,6,mind,1
4,8,reason,1
5,8,mind,1
6,8,principle,1
7,8,truth,1
8,9,mind,1
9,9,principle,1
10,12,mind,2
11,13,reason,1
12,14,reason,2
13,14,principle,1
14,16,reason,2
15,16,mind,1
16,18,ignorance,1
17,19,judgement,1
18,24,mind,1
19,26,judgement,1
20,27,reason,1
21,27,mind,1
22,28,reason,4
23,28,mind,1
24,29,reason,2
25,30,mind,1
26,31,mind,1
27,32,reason,1
28,34,reason,1
29,36,reason,1
