,Chapter,word,Occurences
0,1,nature,3
1,8,universe,1
2,8,whole,2
3,9,nature,1
4,9,matter,1
5,10,nature,1
6,15,nature,2
7,24,whole,2
8,25,nature,1
9,29,nature,1
10,29,matter,1
11,31,law,1
12,32,whole,1
