,Chapter,word,Occurences
0,15,men,2
1,16,men,1
2,17,men,1
3,18,men,2
4,21,men,1
5,23,men,1
6,26,men,2
7,27,men,1
8,30,men,4
9,33,men,3
10,35,men,1
11,39,men,1
12,41,men,2
13,44,men,1
14,45,men,2
15,47,men,4
16,50,men,1
17,57,men,1
