,Chapter,word,Occurences
0,1,judgement,1
1,1,truth,1
2,2,mind,1
3,3,mind,3
4,4,judgement,2
5,5,reason,1
6,9,principle,1
7,14,mind,2
8,14,truth,1
9,20,judgement,1
10,23,judgement,1
11,24,judgement,1
12,24,mind,2
13,25,mind,1
14,27,truth,1
15,28,principle,1
16,33,reason,1
