,Chapter,Concept Instance,Occurences
0,1,body,1
1,6,impulse,1
2,7,body,1
3,7,vital spirit,2
4,8,flesh,1
5,11,body,1
6,24,flesh,1
7,26,impulse,1
8,33,body,1
9,38,body,2
