,Chapter,Concept Instance,Occurences
0,2,reason,2
1,3,judgement,1
2,8,mind,2
3,11,mind,1
4,12,judgement,1
5,13,truth,1
6,14,mind,1
7,24,reason,1
8,26,principle,2
9,31,reason,1
10,31,mind,1
11,32,mind,1
12,32,truth,1
13,33,reason,4
14,33,judgement,1
15,34,mind,1
