,Chapter,Concept Instance,Occurences
0,1,law,1
1,1,whole,2
2,2,whole,1
3,6,law,1
4,6,whole,1
5,8,whole,3
6,10,nature,1
7,13,nature,1
8,15,whole,1
9,16,nature,1
10,16,whole,1
11,18,nature,1
12,18,necessity,1
13,20,nature,1
14,30,nature,1
