,Chapter,Concept Instance,Occurences
0,1,nature,1
1,1,matter,1
2,4,matter,1
3,4,whole,1
4,9,nature,2
5,13,matter,1
6,15,whole,1
7,20,nature,1
8,30,nature,1
9,38,matter,1
10,42,whole,1
11,44,nature,2
12,46,whole,1
13,47,nature,1
14,49,matter,1
15,58,nature,1
