,Chapter,Concept Instance,Occurences
0,2,death,1
1,2,life,1
2,12,life,1
3,12,time,1
4,13,life,1
5,15,extinct,1
6,15,life,1
7,15,time,1
8,18,time,1
9,20,life,1
10,22,life,1
11,23,life,1
12,23,time,1
13,24,death,1
14,24,life,1
15,25,time,1
16,26,life,1
17,29,life,1
18,36,time,1
19,37,time,1
20,46,life,1
21,47,death,1
22,47,life,2
