,Chapter,Word,Occurences
0,9,law,1
1,19,matter,1
2,23,whole,1
3,28,nature,1
4,31,law,2
5,45,matter,1
6,48,law,1
7,55,nature,2
8,60,whole,1
9,66,whole,1
10,68,matter,1
