,Chapter,Word,Occurences
0,2,power,1
1,14,power,1
2,16,power,1
3,16,governing self,1
4,22,governing self,1
5,24,power,1
6,28,governing self,1
7,33,governing self,1
8,54,power,1
9,55,governing self,1
10,66,glory,1
