,Chapter,Word,Occurences
0,2,God,1
1,4,god,1
2,5,god,3
3,5,God,2
4,5,gods,3
5,11,God,2
6,12,god,1
7,12,gods,1
8,14,God,1
9,21,God,3
10,24,God,1
11,25,fortune,1
12,25,god,1
13,25,gods,1
14,26,god,2
15,26,gods,2
16,29,God,1
