,Chapter,Concept Instance,Occurences
0,1,power,1
1,2,corrupt,1
2,15,governing self,1
3,22,governing self,1
4,26,governing self,1
5,30,glory,1
6,33,power,1
7,36,power,1
8,40,corrupt,1
9,40,governing self,1
10,41,power,8
11,43,power,1
