,Chapter,Concept Instance,Occurences
0,1,death,1
1,1,life,1
2,1,time,1
3,3,death,4
4,3,dissolution,1
5,3,life,3
6,14,time,1
7,21,death,2
8,21,life,3
9,22,time,1
10,23,life,1
11,25,time,1
12,27,time,1
13,31,life,3
14,33,dissolution,2
15,33,time,1
16,34,time,1
17,38,life,1
18,42,life,2
19,42,sick,2
