,Chapter,Concept Instance,Occurences
0,1,impulse,2
1,7,impulse,1
2,8,vital spirit,2
3,9,vital spirit,1
4,21,impulse,1
5,28,impulse,2
6,32,impulse,1
7,35,souls,1
8,40,body,1
9,42,body,1
10,42,flesh,1
