,Book,BookChapter,Negative,Neutral,Positive
1,4,1,0.34274846,0.37797222,0.27927932
2,4,2,0.109605275,0.42342997,0.4669648
3,4,3,0.4077607,0.37846062,0.21377873
4,4,4,0.31636465,0.48624492,0.19739047
5,4,5,0.50193536,0.40357038,0.094494395
6,4,6,0.40464693,0.41297948,0.18237367
7,4,7,0.5890254,0.35169548,0.059279077
8,4,8,0.6968813,0.25663906,0.046479616
9,4,9,0.14025572,0.42644855,0.43329567
10,4,10,0.1514733,0.45736703,0.3911597
11,4,11,0.3558784,0.50928324,0.1348383
12,4,12,0.2566589,0.43654358,0.30679744
13,4,13,0.20795758,0.61849946,0.17354284
14,4,14,0.24927574,0.6120906,0.13863371
15,4,15,0.3201352,0.555382,0.12448281
16,4,16,0.17640133,0.30574852,0.5178501
17,4,17,0.24498543,0.45391825,0.30109644
18,4,18,0.3152124,0.42314738,0.26164034
19,4,19,0.46944577,0.3583797,0.17217459
20,4,20,0.4105186,0.31800702,0.27147436
21,4,21,0.34586868,0.4838521,0.17027928
22,4,22,0.061025966,0.46284598,0.476128
23,4,23,0.18303707,0.45139122,0.36557168
24,4,24,0.37880093,0.37044048,0.25075856
25,4,25,0.10669102,0.29337946,0.5999295
26,4,26,0.399662,0.39623663,0.20410143
27,4,27,0.32618028,0.43186602,0.24195367
28,4,28,0.93204033,0.051465757,0.016494108
29,4,29,0.49971926,0.38677916,0.11350154
30,4,30,0.52858216,0.356671,0.11474689
31,4,31,0.124430895,0.3782156,0.4973535
32,4,32,0.50678194,0.3327906,0.16042744
33,4,33,0.365464,0.3731576,0.26137847
34,4,34,0.24711722,0.5192994,0.23358336
35,4,35,0.07608096,0.6791073,0.24481173
36,4,36,0.2368439,0.45353678,0.30961922
37,4,37,0.8325111,0.13966316,0.027825754
38,4,38,0.30611613,0.5326674,0.16121641
39,4,39,0.48700234,0.40235797,0.11063975
40,4,40,0.13356335,0.3935704,0.47286642
41,4,41,0.11086004,0.67538196,0.21375804
42,4,42,0.3258474,0.44721818,0.22693448
43,4,43,0.17855102,0.6082101,0.21323892
44,4,44,0.6304154,0.25462374,0.114960924
45,4,45,0.1671241,0.55726105,0.27561495
46,4,46,0.27362493,0.5223032,0.20407182
47,4,47,0.4144048,0.45047447,0.13512075
48,4,48,0.47397497,0.32809043,0.19793458
49,4,49,0.45651725,0.3283204,0.2151623
50,4,50,0.53617245,0.31345898,0.15036853
51,4,51,0.18208331,0.44073623,0.3771805
