,Book,BookChapter,Negative,Neutral,Positive
1,3,1,0.3811612,0.39604115,0.22279766
2,3,2,0.35379523,0.36424989,0.28195462
3,3,3,0.5419194,0.3045905,0.15349007
4,3,4,0.46811312,0.35041413,0.18147288
5,3,5,0.5083099,0.32776743,0.16392258
6,3,6,0.35129142,0.3909614,0.25774717
7,3,7,0.58474886,0.27764267,0.13760842
8,3,8,0.5099978,0.34067503,0.14932723
9,3,9,0.38179827,0.3977731,0.2204287
10,3,10,0.5530969,0.34048423,0.10641883
11,3,11,0.31076065,0.45744327,0.231796
12,3,12,0.19162495,0.36617965,0.44219533
13,3,13,0.3129915,0.43668777,0.25032076
14,3,14,0.60559714,0.27993712,0.11446582
15,3,15,0.36667764,0.53408384,0.09923844
16,3,16,0.3505262,0.39697495,0.25249875
