,Chapter,Word,Occurences
0,2,man,3
1,4,man,9
2,5,man,4
3,6,man,3
4,7,man,1
5,8,man,1
6,9,man,1
7,10,man,1
8,11,man,2
9,13,man,1
10,16,man,4
