,Book,BookChapter,Negative,Neutral,Positive
1,1,1,0.05316855,0.375244,0.5715874
2,1,2,0.049230266,0.2740714,0.67669827
3,1,3,0.34608826,0.38594672,0.26796505
4,1,4,0.09973159,0.29120174,0.60906667
5,1,5,0.48962015,0.34082535,0.16955452
6,1,6,0.4193811,0.3140514,0.26656738
7,1,7,0.409127,0.3343325,0.25654042
8,1,8,0.5203923,0.2716585,0.20794913
9,1,9,0.4058218,0.3076793,0.28649896
10,1,10,0.42150012,0.37609872,0.2024012
11,1,11,0.9319361,0.050125804,0.01793828
12,1,12,0.40571952,0.43883651,0.15544403
13,1,13,0.40984577,0.28181553,0.30833867
14,1,14,0.36935246,0.34825122,0.28239632
15,1,15,0.5603805,0.27055675,0.1690627
16,1,16,0.49327028,0.30722263,0.19950715
17,1,17,0.42539966,0.35222572,0.22237468
