,Chapter,Concept Instance,Occurences
0,1,life,5
1,7,time,1
2,9,life,1
3,11,time,1
4,14,death,1
5,14,life,1
6,21,sick,1
7,24,life,1
8,27,time,1
9,31,death,1
10,32,life,1
11,32,time,1
12,36,life,1
13,44,death,1
14,44,time,1
15,47,life,2
16,51,life,1
17,53,time,1
18,58,death,1
