,Chapter,Concept Instance,Occurences
0,1,action,1
1,9,fault,1
2,10,blame,1
3,14,honour,2
4,16,action,1
5,17,fault,3
6,32,justice,1
7,32,action,3
8,32,temperance,1
9,34,honour,1
10,39,justice,1
11,47,action,1
12,50,fault,1
13,51,action,1
