,Chapter,Concept Instance,Occurences
0,1,impulse,1
1,7,impulse,1
2,12,flesh,1
3,16,impulse,1
4,28,body,2
5,28,impulse,1
6,41,impulse,2
7,56,flesh,1
8,56,vital spirit,1
9,57,body,1
