,Chapter,Concept Instance,Occurences
0,5,mind,1
1,7,reason,3
2,14,principle,2
3,16,mind,1
4,25,mind,3
5,28,judgement,1
6,35,reason,2
7,36,mind,1
8,38,judgement,1
9,39,reason,1
10,40,reason,2
11,40,judgement,2
12,41,reason,3
13,41,mind,1
14,44,judgement,1
15,45,reason,2
16,47,reason,1
17,47,judgement,1
18,48,reason,2
19,54,mind,2
20,60,mind,2
