,Chapter,Concept Instance,Occurences
0,1,reason,1
1,1,principle,2
2,1,truth,1
3,4,mind,1
4,5,principle,1
5,6,reason,1
6,6,mind,2
7,9,judgement,1
8,9,principle,1
9,11,judgement,1
10,12,truth,2
11,15,mind,1
12,16,judgement,1
13,18,ignorance,1
14,18,judgement,2
15,18,mind,1
16,18,truth,2
17,20,mind,1
18,26,mind,1
19,27,mind,1
20,30,reason,1
