,Chapter,Concept Instance,Occurences
0,5,mind,1
1,8,reason,1
2,8,truth,1
3,9,principle,1
4,10,mind,1
5,13,reason,1
6,14,truth,1
7,16,judgement,1
8,17,mind,2
