,Chapter,Concept Instance,Occurences
0,1,ignorance,1
1,1,mind,1
2,4,mind,1
3,5,mind,1
4,11,ignorance,1
5,12,judgement,1
6,12,mind,1
7,13,reason,1
8,13,ignorance,1
9,13,mind,1
10,16,reason,1
11,17,mind,1
